name,base_id,char_definitionId
Grand Inquisitor,GRANDINQUISITOR,GRANDINQUISITOR:SEVEN_STAR
Grand Inquisitor,GRANDINQUISITOR,GRANDINQUISITOR:FOUR_STAR
Grand Inquisitor,GRANDINQUISITOR,GRANDINQUISITOR:SIX_STAR
Grand Inquisitor,GRANDINQUISITOR,GRANDINQUISITOR:FIVE_STAR
Grand Inquisitor,GRANDINQUISITOR,GRANDINQUISITOR:THREE_STAR
Grand Inquisitor,GRANDINQUISITOR,GRANDINQUISITOR:ONE_STAR
Grand Inquisitor,GRANDINQUISITOR,GRANDINQUISITOR:TWO_STAR
Emperor's Shuttle,EMPERORSSHUTTLE,EMPERORSSHUTTLE:SEVEN_STAR
Emperor's Shuttle,EMPERORSSHUTTLE,EMPERORSSHUTTLE:FOUR_STAR
Emperor's Shuttle,EMPERORSSHUTTLE,EMPERORSSHUTTLE:SIX_STAR
Emperor's Shuttle,EMPERORSSHUTTLE,EMPERORSSHUTTLE:FIVE_STAR
Emperor's Shuttle,EMPERORSSHUTTLE,EMPERORSSHUTTLE:TWO_STAR
Emperor's Shuttle,EMPERORSSHUTTLE,EMPERORSSHUTTLE:ONE_STAR
Emperor's Shuttle,EMPERORSSHUTTLE,EMPERORSSHUTTLE:THREE_STAR
Echo,BADBATCHECHO,BADBATCHECHO:FOUR_STAR
Echo,BADBATCHECHO,BADBATCHECHO:SEVEN_STAR
Echo,BADBATCHECHO,BADBATCHECHO:FIVE_STAR
Echo,BADBATCHECHO,BADBATCHECHO:SIX_STAR
Echo,BADBATCHECHO,BADBATCHECHO:TWO_STAR
Echo,BADBATCHECHO,BADBATCHECHO:ONE_STAR
Echo,BADBATCHECHO,BADBATCHECHO:THREE_STAR
Qui-Gon Jinn,QUIGONJINN,QUIGONJINN:FOUR_STAR
Qui-Gon Jinn,QUIGONJINN,QUIGONJINN:SEVEN_STAR
Qui-Gon Jinn,QUIGONJINN,QUIGONJINN:FIVE_STAR
Qui-Gon Jinn,QUIGONJINN,QUIGONJINN:SIX_STAR
Qui-Gon Jinn,QUIGONJINN,QUIGONJINN:TWO_STAR
Qui-Gon Jinn,QUIGONJINN,QUIGONJINN:ONE_STAR
Qui-Gon Jinn,QUIGONJINN,QUIGONJINN:THREE_STAR
Rose Tico,ROSETICO,ROSETICO:SEVEN_STAR
Rose Tico,ROSETICO,ROSETICO:FOUR_STAR
Rose Tico,ROSETICO,ROSETICO:FIVE_STAR
Rose Tico,ROSETICO,ROSETICO:SIX_STAR
Rose Tico,ROSETICO,ROSETICO:TWO_STAR
Rose Tico,ROSETICO,ROSETICO:THREE_STAR
Rose Tico,ROSETICO,ROSETICO:ONE_STAR
Lobot,LOBOT,LOBOT:SEVEN_STAR
Lobot,LOBOT,LOBOT:FOUR_STAR
Lobot,LOBOT,LOBOT:SIX_STAR
Lobot,LOBOT,LOBOT:TWO_STAR
Lobot,LOBOT,LOBOT:FIVE_STAR
Lobot,LOBOT,LOBOT:ONE_STAR
Lobot,LOBOT,LOBOT:THREE_STAR
Amilyn Holdo,AMILYNHOLDO,AMILYNHOLDO:SIX_STAR
Amilyn Holdo,AMILYNHOLDO,AMILYNHOLDO:SEVEN_STAR
Amilyn Holdo,AMILYNHOLDO,AMILYNHOLDO:FOUR_STAR
Amilyn Holdo,AMILYNHOLDO,AMILYNHOLDO:FIVE_STAR
Amilyn Holdo,AMILYNHOLDO,AMILYNHOLDO:TWO_STAR
Amilyn Holdo,AMILYNHOLDO,AMILYNHOLDO:ONE_STAR
Amilyn Holdo,AMILYNHOLDO,AMILYNHOLDO:THREE_STAR
Negotiator,CAPITALNEGOTIATOR,CAPITALNEGOTIATOR:SEVEN_STAR
Negotiator,CAPITALNEGOTIATOR,CAPITALNEGOTIATOR:FOUR_STAR
Negotiator,CAPITALNEGOTIATOR,CAPITALNEGOTIATOR:SIX_STAR
Negotiator,CAPITALNEGOTIATOR,CAPITALNEGOTIATOR:FIVE_STAR
Negotiator,CAPITALNEGOTIATOR,CAPITALNEGOTIATOR:THREE_STAR
Negotiator,CAPITALNEGOTIATOR,CAPITALNEGOTIATOR:ONE_STAR
Negotiator,CAPITALNEGOTIATOR,CAPITALNEGOTIATOR:TWO_STAR
Ewok Elder,EWOKELDER,EWOKELDER:SIX_STAR
Ewok Elder,EWOKELDER,EWOKELDER:SEVEN_STAR
Ewok Elder,EWOKELDER,EWOKELDER:FOUR_STAR
Ewok Elder,EWOKELDER,EWOKELDER:FIVE_STAR
Ewok Elder,EWOKELDER,EWOKELDER:ONE_STAR
Ewok Elder,EWOKELDER,EWOKELDER:THREE_STAR
Ewok Elder,EWOKELDER,EWOKELDER:TWO_STAR
Plo Koon,PLOKOON,PLOKOON:SEVEN_STAR
Plo Koon,PLOKOON,PLOKOON:FOUR_STAR
Plo Koon,PLOKOON,PLOKOON:SIX_STAR
Plo Koon,PLOKOON,PLOKOON:THREE_STAR
Plo Koon,PLOKOON,PLOKOON:ONE_STAR
Plo Koon,PLOKOON,PLOKOON:TWO_STAR
Plo Koon,PLOKOON,PLOKOON:FIVE_STAR
Sun Fac's Geonosian Starfighter,GEONOSIANSTARFIGHTER1,GEONOSIANSTARFIGHTER1:FIVE_STAR
Sun Fac's Geonosian Starfighter,GEONOSIANSTARFIGHTER1,GEONOSIANSTARFIGHTER1:SEVEN_STAR
Sun Fac's Geonosian Starfighter,GEONOSIANSTARFIGHTER1,GEONOSIANSTARFIGHTER1:SIX_STAR
Sun Fac's Geonosian Starfighter,GEONOSIANSTARFIGHTER1,GEONOSIANSTARFIGHTER1:FOUR_STAR
Sun Fac's Geonosian Starfighter,GEONOSIANSTARFIGHTER1,GEONOSIANSTARFIGHTER1:THREE_STAR
Sun Fac's Geonosian Starfighter,GEONOSIANSTARFIGHTER1,GEONOSIANSTARFIGHTER1:ONE_STAR
Sun Fac's Geonosian Starfighter,GEONOSIANSTARFIGHTER1,GEONOSIANSTARFIGHTER1:TWO_STAR
ARC Trooper,ARCTROOPER501ST,ARCTROOPER501ST:FOUR_STAR
ARC Trooper,ARCTROOPER501ST,ARCTROOPER501ST:SEVEN_STAR
ARC Trooper,ARCTROOPER501ST,ARCTROOPER501ST:SIX_STAR
ARC Trooper,ARCTROOPER501ST,ARCTROOPER501ST:FIVE_STAR
ARC Trooper,ARCTROOPER501ST,ARCTROOPER501ST:THREE_STAR
ARC Trooper,ARCTROOPER501ST,ARCTROOPER501ST:ONE_STAR
ARC Trooper,ARCTROOPER501ST,ARCTROOPER501ST:TWO_STAR
Geonosian Soldier's Starfighter,GEONOSIANSTARFIGHTER2,GEONOSIANSTARFIGHTER2:FIVE_STAR
Geonosian Soldier's Starfighter,GEONOSIANSTARFIGHTER2,GEONOSIANSTARFIGHTER2:SEVEN_STAR
Geonosian Soldier's Starfighter,GEONOSIANSTARFIGHTER2,GEONOSIANSTARFIGHTER2:SIX_STAR
Geonosian Soldier's Starfighter,GEONOSIANSTARFIGHTER2,GEONOSIANSTARFIGHTER2:FOUR_STAR
Geonosian Soldier's Starfighter,GEONOSIANSTARFIGHTER2,GEONOSIANSTARFIGHTER2:THREE_STAR
Geonosian Soldier's Starfighter,GEONOSIANSTARFIGHTER2,GEONOSIANSTARFIGHTER2:ONE_STAR
Geonosian Soldier's Starfighter,GEONOSIANSTARFIGHTER2,GEONOSIANSTARFIGHTER2:TWO_STAR
Geonosian Spy,GEONOSIANSPY,GEONOSIANSPY:FOUR_STAR
Geonosian Spy,GEONOSIANSPY,GEONOSIANSPY:SEVEN_STAR
Geonosian Spy,GEONOSIANSPY,GEONOSIANSPY:SIX_STAR
Geonosian Spy,GEONOSIANSPY,GEONOSIANSPY:FIVE_STAR
Geonosian Spy,GEONOSIANSPY,GEONOSIANSPY:THREE_STAR
Geonosian Spy,GEONOSIANSPY,GEONOSIANSPY:ONE_STAR
Geonosian Spy,GEONOSIANSPY,GEONOSIANSPY:TWO_STAR
Scythe,SCYTHE,SCYTHE:SIX_STAR
Scythe,SCYTHE,SCYTHE:SEVEN_STAR
Scythe,SCYTHE,SCYTHE:FIVE_STAR
Scythe,SCYTHE,SCYTHE:FOUR_STAR
Scythe,SCYTHE,SCYTHE:ONE_STAR
Scythe,SCYTHE,SCYTHE:THREE_STAR
Scythe,SCYTHE,SCYTHE:TWO_STAR
Outrider,OUTRIDER,OUTRIDER:SIX_STAR
Outrider,OUTRIDER,OUTRIDER:SEVEN_STAR
Outrider,OUTRIDER,OUTRIDER:FIVE_STAR
Outrider,OUTRIDER,OUTRIDER:FOUR_STAR
Outrider,OUTRIDER,OUTRIDER:TWO_STAR
Outrider,OUTRIDER,OUTRIDER:ONE_STAR
Outrider,OUTRIDER,OUTRIDER:THREE_STAR
Geonosian Spy's Starfighter,GEONOSIANSTARFIGHTER3,GEONOSIANSTARFIGHTER3:FIVE_STAR
Geonosian Spy's Starfighter,GEONOSIANSTARFIGHTER3,GEONOSIANSTARFIGHTER3:SEVEN_STAR
Geonosian Spy's Starfighter,GEONOSIANSTARFIGHTER3,GEONOSIANSTARFIGHTER3:SIX_STAR
Geonosian Spy's Starfighter,GEONOSIANSTARFIGHTER3,GEONOSIANSTARFIGHTER3:FOUR_STAR
Geonosian Spy's Starfighter,GEONOSIANSTARFIGHTER3,GEONOSIANSTARFIGHTER3:ONE_STAR
Geonosian Spy's Starfighter,GEONOSIANSTARFIGHTER3,GEONOSIANSTARFIGHTER3:THREE_STAR
Geonosian Spy's Starfighter,GEONOSIANSTARFIGHTER3,GEONOSIANSTARFIGHTER3:TWO_STAR
First Order TIE Pilot,FIRSTORDERTIEPILOT,FIRSTORDERTIEPILOT:FIVE_STAR
First Order TIE Pilot,FIRSTORDERTIEPILOT,FIRSTORDERTIEPILOT:SEVEN_STAR
First Order TIE Pilot,FIRSTORDERTIEPILOT,FIRSTORDERTIEPILOT:SIX_STAR
First Order TIE Pilot,FIRSTORDERTIEPILOT,FIRSTORDERTIEPILOT:FOUR_STAR
First Order TIE Pilot,FIRSTORDERTIEPILOT,FIRSTORDERTIEPILOT:THREE_STAR
First Order TIE Pilot,FIRSTORDERTIEPILOT,FIRSTORDERTIEPILOT:ONE_STAR
First Order TIE Pilot,FIRSTORDERTIEPILOT,FIRSTORDERTIEPILOT:TWO_STAR
BB-8,BB8,BB8:FIVE_STAR
BB-8,BB8,BB8:SEVEN_STAR
BB-8,BB8,BB8:FOUR_STAR
BB-8,BB8,BB8:THREE_STAR
BB-8,BB8,BB8:ONE_STAR
BB-8,BB8,BB8:TWO_STAR
BB-8,BB8,BB8:SIX_STAR
Logray,LOGRAY,LOGRAY:SEVEN_STAR
Logray,LOGRAY,LOGRAY:SIX_STAR
Logray,LOGRAY,LOGRAY:FIVE_STAR
Logray,LOGRAY,LOGRAY:FOUR_STAR
Logray,LOGRAY,LOGRAY:ONE_STAR
Logray,LOGRAY,LOGRAY:THREE_STAR
Logray,LOGRAY,LOGRAY:TWO_STAR
URoRRuR'R'R,URORRURRR,URORRURRR:SEVEN_STAR
URoRRuR'R'R,URORRURRR,URORRURRR:SIX_STAR
URoRRuR'R'R,URORRURRR,URORRURRR:FIVE_STAR
URoRRuR'R'R,URORRURRR,URORRURRR:FOUR_STAR
URoRRuR'R'R,URORRURRR,URORRURRR:TWO_STAR
URoRRuR'R'R,URORRURRR,URORRURRR:ONE_STAR
URoRRuR'R'R,URORRURRR,URORRURRR:THREE_STAR
Mission Vao,MISSIONVAO,MISSIONVAO:SIX_STAR
Mission Vao,MISSIONVAO,MISSIONVAO:SEVEN_STAR
Mission Vao,MISSIONVAO,MISSIONVAO:FIVE_STAR
Mission Vao,MISSIONVAO,MISSIONVAO:FOUR_STAR
Mission Vao,MISSIONVAO,MISSIONVAO:TWO_STAR
Mission Vao,MISSIONVAO,MISSIONVAO:THREE_STAR
Mission Vao,MISSIONVAO,MISSIONVAO:ONE_STAR
Resistance X-wing,XWINGRESISTANCE,XWINGRESISTANCE:FOUR_STAR
Resistance X-wing,XWINGRESISTANCE,XWINGRESISTANCE:SEVEN_STAR
Resistance X-wing,XWINGRESISTANCE,XWINGRESISTANCE:SIX_STAR
Resistance X-wing,XWINGRESISTANCE,XWINGRESISTANCE:FIVE_STAR
Resistance X-wing,XWINGRESISTANCE,XWINGRESISTANCE:ONE_STAR
Resistance X-wing,XWINGRESISTANCE,XWINGRESISTANCE:THREE_STAR
Resistance X-wing,XWINGRESISTANCE,XWINGRESISTANCE:TWO_STAR
Doctor Aphra,DOCTORAPHRA,DOCTORAPHRA:SIX_STAR
Doctor Aphra,DOCTORAPHRA,DOCTORAPHRA:SEVEN_STAR
Doctor Aphra,DOCTORAPHRA,DOCTORAPHRA:TWO_STAR
Doctor Aphra,DOCTORAPHRA,DOCTORAPHRA:FIVE_STAR
Doctor Aphra,DOCTORAPHRA,DOCTORAPHRA:THREE_STAR
Doctor Aphra,DOCTORAPHRA,DOCTORAPHRA:ONE_STAR
Doctor Aphra,DOCTORAPHRA,DOCTORAPHRA:FOUR_STAR
Luminara Unduli,LUMINARAUNDULI,LUMINARAUNDULI:SIX_STAR
Luminara Unduli,LUMINARAUNDULI,LUMINARAUNDULI:SEVEN_STAR
Luminara Unduli,LUMINARAUNDULI,LUMINARAUNDULI:FOUR_STAR
Luminara Unduli,LUMINARAUNDULI,LUMINARAUNDULI:THREE_STAR
Luminara Unduli,LUMINARAUNDULI,LUMINARAUNDULI:ONE_STAR
Luminara Unduli,LUMINARAUNDULI,LUMINARAUNDULI:TWO_STAR
Luminara Unduli,LUMINARAUNDULI,LUMINARAUNDULI:FIVE_STAR
Starkiller,STARKILLER,STARKILLER:SIX_STAR
Starkiller,STARKILLER,STARKILLER:SEVEN_STAR
Starkiller,STARKILLER,STARKILLER:FIVE_STAR
Starkiller,STARKILLER,STARKILLER:FOUR_STAR
Starkiller,STARKILLER,STARKILLER:THREE_STAR
Starkiller,STARKILLER,STARKILLER:ONE_STAR
Starkiller,STARKILLER,STARKILLER:TWO_STAR
Hound's Tooth,HOUNDSTOOTH,HOUNDSTOOTH:SIX_STAR
Hound's Tooth,HOUNDSTOOTH,HOUNDSTOOTH:SEVEN_STAR
Hound's Tooth,HOUNDSTOOTH,HOUNDSTOOTH:FOUR_STAR
Hound's Tooth,HOUNDSTOOTH,HOUNDSTOOTH:ONE_STAR
Hound's Tooth,HOUNDSTOOTH,HOUNDSTOOTH:THREE_STAR
Hound's Tooth,HOUNDSTOOTH,HOUNDSTOOTH:TWO_STAR
Hound's Tooth,HOUNDSTOOTH,HOUNDSTOOTH:FIVE_STAR
Clone Sergeant's ARC-170,ARC170CLONESERGEANT,ARC170CLONESERGEANT:SEVEN_STAR
Clone Sergeant's ARC-170,ARC170CLONESERGEANT,ARC170CLONESERGEANT:SIX_STAR
Clone Sergeant's ARC-170,ARC170CLONESERGEANT,ARC170CLONESERGEANT:TWO_STAR
Clone Sergeant's ARC-170,ARC170CLONESERGEANT,ARC170CLONESERGEANT:FIVE_STAR
Clone Sergeant's ARC-170,ARC170CLONESERGEANT,ARC170CLONESERGEANT:ONE_STAR
Clone Sergeant's ARC-170,ARC170CLONESERGEANT,ARC170CLONESERGEANT:THREE_STAR
Clone Sergeant's ARC-170,ARC170CLONESERGEANT,ARC170CLONESERGEANT:FOUR_STAR
Sith Eternal Emperor,SITHPALPATINE,SITHPALPATINE:SEVEN_STAR
Sith Eternal Emperor,SITHPALPATINE,SITHPALPATINE:SIX_STAR
Sith Eternal Emperor,SITHPALPATINE,SITHPALPATINE:THREE_STAR
Sith Eternal Emperor,SITHPALPATINE,SITHPALPATINE:FOUR_STAR
Sith Eternal Emperor,SITHPALPATINE,SITHPALPATINE:ONE_STAR
Sith Eternal Emperor,SITHPALPATINE,SITHPALPATINE:TWO_STAR
Sith Eternal Emperor,SITHPALPATINE,SITHPALPATINE:FIVE_STAR
Wicket,WICKET,WICKET:SEVEN_STAR
Wicket,WICKET,WICKET:FOUR_STAR
Wicket,WICKET,WICKET:SIX_STAR
Wicket,WICKET,WICKET:THREE_STAR
Wicket,WICKET,WICKET:ONE_STAR
Wicket,WICKET,WICKET:TWO_STAR
Wicket,WICKET,WICKET:FIVE_STAR
First Order TIE Fighter,TIEFIGHTERFIRSTORDER,TIEFIGHTERFIRSTORDER:SIX_STAR
First Order TIE Fighter,TIEFIGHTERFIRSTORDER,TIEFIGHTERFIRSTORDER:SEVEN_STAR
First Order TIE Fighter,TIEFIGHTERFIRSTORDER,TIEFIGHTERFIRSTORDER:FOUR_STAR
First Order TIE Fighter,TIEFIGHTERFIRSTORDER,TIEFIGHTERFIRSTORDER:FIVE_STAR
First Order TIE Fighter,TIEFIGHTERFIRSTORDER,TIEFIGHTERFIRSTORDER:THREE_STAR
First Order TIE Fighter,TIEFIGHTERFIRSTORDER,TIEFIGHTERFIRSTORDER:ONE_STAR
First Order TIE Fighter,TIEFIGHTERFIRSTORDER,TIEFIGHTERFIRSTORDER:TWO_STAR
Jedi Consular's Starfighter,JEDISTARFIGHTERCONSULAR,JEDISTARFIGHTERCONSULAR:SIX_STAR
Jedi Consular's Starfighter,JEDISTARFIGHTERCONSULAR,JEDISTARFIGHTERCONSULAR:FOUR_STAR
Jedi Consular's Starfighter,JEDISTARFIGHTERCONSULAR,JEDISTARFIGHTERCONSULAR:SEVEN_STAR
